timestamp,executable,image,repetition,fast_ms,sort_ms,slow_ms,total_ms,status
2026-05-17T23:18:28+00:00,denoise_1_4,noise_1280.ppm,1,0.401,1.032,2.883,4.364,ok
2026-05-17T23:18:28+00:00,denoise_1_4,noise_1280.ppm,2,0.409,1.062,2.879,4.401,ok
2026-05-17T23:18:29+00:00,denoise_1_4,noise_1280.ppm,3,0.400,1.047,2.884,4.375,ok
2026-05-17T23:18:29+00:00,denoise_1_4,noise_1280.ppm,4,0.409,1.048,2.879,4.384,ok
2026-05-17T23:18:30+00:00,denoise_1_4,noise_1280.ppm,5,0.410,1.057,2.882,4.399,ok
2026-05-17T23:18:30+00:00,denoise_1_4,noise_1280.ppm,6,0.409,1.055,2.874,4.387,ok
2026-05-17T23:18:31+00:00,denoise_1_4,noise_1280.ppm,7,0.409,1.053,2.883,4.395,ok
2026-05-17T23:18:31+00:00,denoise_1_4,noise_1280.ppm,8,0.412,1.070,2.884,4.418,ok
2026-05-17T23:18:32+00:00,denoise_1_4,noise_1280.ppm,9,0.405,1.047,2.879,4.382,ok
2026-05-17T23:18:32+00:00,denoise_1_4,noise_1280.ppm,10,0.408,1.056,2.883,4.395,ok
2026-05-17T23:18:33+00:00,denoise_1_4,noise_1280.ppm,11,0.410,1.045,2.884,4.401,ok
2026-05-17T23:18:33+00:00,denoise_1_4,noise_1280.ppm,12,0.409,1.056,2.878,4.393,ok
2026-05-17T23:18:34+00:00,denoise_1_4,noise_1280.ppm,13,0.405,1.051,2.883,4.385,ok
2026-05-17T23:18:34+00:00,denoise_1_4,noise_1280.ppm,14,0.406,1.062,2.885,4.403,ok
2026-05-17T23:18:35+00:00,denoise_1_4,noise_1280.ppm,15,0.403,1.042,2.877,4.368,ok
2026-05-17T23:18:35+00:00,denoise_1_4,noise_1280.ppm,16,0.409,1.059,2.882,4.400,ok
2026-05-17T23:18:36+00:00,denoise_1_4,noise_1280.ppm,17,0.403,1.047,2.880,4.407,ok
2026-05-17T23:18:36+00:00,denoise_1_4,noise_1280.ppm,18,0.404,1.101,2.880,4.434,ok
2026-05-17T23:18:37+00:00,denoise_1_4,noise_1280.ppm,19,0.401,1.045,2.883,4.376,ok
2026-05-17T23:18:37+00:00,denoise_1_4,noise_1280.ppm,20,0.399,1.036,2.877,4.358,ok
2026-05-17T23:18:38+00:00,denoise_1_4,noise_1280.ppm,21,0.403,1.048,2.877,4.376,ok
