timestamp,executable,image,repetition,fast_ms,sort_ms,slow_ms,total_ms,status
2026-05-30T09:44:55+00:00,denoise_1_4_new,noise_1280.ppm,1,0.272,,7.376,8.732,ok
2026-05-30T09:44:56+00:00,denoise_1_4_new,noise_1280.ppm,2,0.269,,7.386,8.731,ok
2026-05-30T09:44:56+00:00,denoise_1_4_new,noise_1280.ppm,3,0.273,,7.416,8.821,ok
2026-05-30T09:44:57+00:00,denoise_1_4_new,noise_1280.ppm,4,0.270,,7.383,8.729,ok
2026-05-30T09:44:57+00:00,denoise_1_4_new,noise_1280.ppm,5,0.277,,7.390,8.758,ok
2026-05-30T09:44:58+00:00,denoise_1_4_new,noise_1280.ppm,6,0.277,,7.393,8.758,ok
2026-05-30T09:44:58+00:00,denoise_1_4_new,noise_1280.ppm,7,0.289,,7.395,8.835,ok
2026-05-30T09:44:59+00:00,denoise_1_4_new,noise_1280.ppm,8,0.271,,7.414,8.764,ok
2026-05-30T09:44:59+00:00,denoise_1_4_new,noise_1280.ppm,9,0.274,,7.406,8.761,ok
2026-05-30T09:45:00+00:00,denoise_1_4_new,noise_1280.ppm,10,0.275,,7.382,8.914,ok
2026-05-30T09:45:01+00:00,denoise_1_4_new,noise_1280.ppm,11,0.311,,7.440,9.214,ok
2026-05-30T09:45:01+00:00,denoise_1_4_new,noise_1280.ppm,12,0.280,,7.398,8.772,ok
2026-05-30T09:45:02+00:00,denoise_1_4_new,noise_1280.ppm,13,0.274,,7.389,8.746,ok
2026-05-30T09:45:02+00:00,denoise_1_4_new,noise_1280.ppm,14,0.279,,7.403,8.772,ok
2026-05-30T09:45:03+00:00,denoise_1_4_new,noise_1280.ppm,15,0.280,,7.426,8.792,ok
2026-05-30T09:45:03+00:00,denoise_1_4_new,noise_1280.ppm,16,0.289,,7.390,8.790,ok
2026-05-30T09:45:04+00:00,denoise_1_4_new,noise_1280.ppm,17,0.283,,7.377,8.745,ok
2026-05-30T09:45:04+00:00,denoise_1_4_new,noise_1280.ppm,18,0.276,,7.412,8.810,ok
2026-05-30T09:45:05+00:00,denoise_1_4_new,noise_1280.ppm,19,0.274,,7.400,8.765,ok
2026-05-30T09:45:05+00:00,denoise_1_4_new,noise_1280.ppm,20,0.273,,7.367,8.723,ok
